chrom	start	end	H1_DamID_LMNB1_rep0	H1_DamID_4xAP3_rep0	H1_TSA_LMNB1_rep1	H1_TSA_LMNB1_rep2	H1_TSA_SON_rep1	H1_TSA_SON_rep2
chr1	3600000	3625000	-3.310457	-0.534179	-1.260919	-1.507968	1.648675	1.401584
chr1	3625000	3650000	-3.771969	0.186691	-1.758183	-1.547757	1.383054	1.345409
chr1	3650000	3675000	-2.788895	0.452143	-1.422283	-1.534751	1.080385	1.322085
chr1	3675000	3700000	-2.718435	0.600937	-1.386124	-1.236666	1.414708	1.597033
chr1	3700000	3725000	-2.321296	-0.033961	-1.084421	-1.407167	1.565698	1.800810
chr1	3725000	3750000	-3.158259	0.522208	-1.385381	-1.513668	1.449649	1.397445
chr1	3750000	3775000	-3.321579	-0.679310	-1.705460	-1.459218	1.198244	1.239284
chr1	3775000	3800000	-3.298819	-0.616182	-1.129103	-1.107739	1.603741	1.266357
chr1	3800000	3825000	-2.050659	0.129377	-1.740394	-1.394570	1.002013	1.041476
chr1	3825000	3850000	-3.504403	0.125459	-1.918309	-1.692547	0.657560	0.762063
chr1	3850000	3875000	-2.358332	0.338341	-1.212616	-1.479459	1.002404	0.994654
chr1	3875000	3900000	-2.058150	0.746880	-1.143989	-1.407046	0.844878	0.690495
chr1	3900000	3925000	-2.615329	-0.054426	-1.333208	-1.382128	1.190194	1.117177
chr1	3925000	3950000	-2.258193	0.389235	-1.390452	-1.436135	0.896841	0.872920
chr1	3950000	3975000	-1.685417	1.174987	-1.497467	-1.465420	0.606793	0.729912
chr1	3975000	4000000	-1.673970	1.777241	-1.136986	-1.344532	0.912273	0.679892
chr1	4000000	4025000	-2.086632	-0.328187	-1.106900	-1.432733	0.602670	0.660996
chr1	4025000	4050000	-2.607992	-0.142912	-1.315589	-1.374880	0.641564	0.558392
chr1	4050000	4075000	-2.958565	-0.387929	-1.106405	-1.122846	0.782547	0.780578
chr1	4075000	4100000	-1.300077	0.214129	-0.886279	-1.191111	0.997416	0.597380
chr1	4100000	4125000	-2.038451	0.250570	-1.073171	-1.244206	0.765799	0.697353
chr1	4125000	4150000	-1.886992	0.522455	-1.349435	-1.404919	0.876568	0.842136
chr1	4150000	4175000	-1.888692	0.632810	-1.252643	-1.048439	0.855313	0.683202
chr1	4175000	4200000	-0.148878	0.484384	-1.362090	-1.543089	0.381912	0.412181
chr1	4200000	4225000	-1.192248	-0.190933	-1.379919	-1.248856	0.649420	0.459307
chr1	4225000	4250000	-0.544301	1.278747	-1.279237	-1.069395	0.218107	0.356148
chr1	4250000	4275000	-1.249271	-0.513213	-1.104277	-1.645721	0.275342	0.649692
chr1	4275000	4300000	-1.108002	-0.212817	-1.519594	-1.612673	0.307166	0.456113
chr1	4300000	4325000	-1.282771	1.317972	-1.499386	-1.263446	0.810038	0.601219
chr1	4325000	4350000	-1.677607	-0.594281	-1.223935	-1.192209	0.863386	0.510378
chr1	4350000	4375000	-1.134608	0.500656	-1.518391	-1.182720	0.773795	0.966911
chr1	4375000	4400000	-1.052024	0.886620	-1.067117	-1.336695	0.532628	0.205219
chr1	4400000	4425000	-1.280033	0.611223	-1.392138	-1.170055	0.629429	0.566031
chr1	4425000	4450000	-1.771642	-0.115153	-1.118561	-1.437496	0.540815	0.816904
chr1	4450000	4475000	-0.437350	0.392072	-1.275075	-1.067185	0.788314	0.585051
chr1	4475000	4500000	-1.171368	-1.528313	-1.400606	-1.196308	0.710190	0.587207
chr1	4500000	4525000	-1.368866	0.656447	-1.181145	-1.175505	0.646885	0.557077
chr1	4525000	4550000	-1.302291	0.015488	-0.970988	-1.265915	0.354512	0.448295
chr1	4550000	4575000	-1.312125	1.378262	-1.406349	-1.280923	0.630609	0.450040
chr1	4575000	4600000	-2.018288	-1.487148	-0.751482	-1.500348	0.706264	0.523077
chr1	4600000	4625000	-2.076091	0.820628	-1.226761	-1.311455	0.891685	0.634148
chr1	4625000	4650000	-3.176868	-0.650688	-0.991382	-1.395462	0.694256	0.448214
chr1	4650000	4675000	-2.254010	-0.075384	-1.168251	-0.966099	0.898246	0.607812
chr1	4675000	4700000	-2.452861	-0.181226	-1.198019	-1.293189	0.790584	0.814059
chr1	4700000	4725000	-1.982324	0.114988	-0.864223	-1.014038	0.916077	0.823986
chr1	4725000	4750000	-3.139784	-0.286416	-0.846015	-1.005124	0.788020	1.003799
chr1	4750000	4775000	-2.690123	0.288659	-1.122145	-1.479055	0.954793	0.807882
chr1	4775000	4800000	-1.744421	-0.169507	-1.147686	-1.344674	0.988435	0.591444
chr1	4800000	4825000	-0.519420	0.225628	-1.383064	-1.347090	0.494395	0.207435
chr1	4825000	4850000	-1.898476	0.003061	-1.244062	-1.522634	0.464707	0.354122
chr1	4850000	4875000	-1.198539	1.361761	-1.193805	-1.092499	0.480867	0.511123
chr1	4875000	4900000	-0.735437	1.280022	-1.023536	-1.041650	0.582623	0.587207
chr1	4900000	4925000	-0.610334	0.030585	-1.271807	-1.352648	0.434647	0.325958
chr1	4925000	4950000	-1.243419	0.206663	-1.292429	-1.308754	0.542596	0.576456
chr1	4950000	4975000	-1.247547	-0.173976	-1.417910	-1.461688	0.407936	0.205565
chr1	4975000	5000000	-1.172117	0.064321	-1.190691	-1.439777	0.587943	0.680343
chr1	5000000	5025000	-1.658246	0.216073	-0.975952	-1.243636	0.389401	0.205897
chr1	5025000	5050000	-1.646096	0.165664	-0.925925	-1.259627	0.362497	0.392360
chr1	5050000	5075000	-1.459651	-0.250106	-1.214776	-1.374880	0.095681	0.157115
chr1	5075000	5100000	-1.819711	0.108746	-1.424924	-1.640331	0.613906	0.220042
chr1	5100000	5125000	-2.654494	-0.380663	-0.978053	-1.046867	0.401540	0.318815
chr1	5125000	5150000	-1.772579	-0.061831	-1.282036	-1.465620	0.609129	0.431075
chr1	5150000	5175000	-0.923830	-0.120812	-1.342117	-1.286343	0.527967	0.487800
chr1	5175000	5200000	-0.460620	-0.643292	-1.260580	-1.325907	0.313691	0.406203
chr1	5200000	5225000	-0.685801	-0.004002	-1.281588	-1.688214	0.206378	0.433994
chr1	5225000	5250000	-1.829775	-0.233786	-1.541414	-1.438866	0.320798	0.600172
chr1	5250000	5275000	-2.288451	-0.483326	-0.770555	-1.297989	0.534172	0.553016
chr1	5275000	5300000	-1.080823	1.653504	-0.983112	-1.214144	0.706913	0.455257
chr1	5300000	5325000	-0.880633	-0.113984	-1.320062	-1.411444	0.122439	0.376071
chr1	5325000	5350000	-0.507496	0.186829	-1.555055	-1.229277	0.727034	0.514036
chr1	5350000	5375000	-0.603203	-0.331334	-1.428383	-1.371893	0.522277	0.457245
chr1	5375000	5400000	-1.429532	1.567889	-1.550425	-1.103050	0.579843	0.357928
chr1	5400000	5425000	-1.223500	0.300072	-1.171940	-1.351181	0.467657	0.556416
chr1	5425000	5450000	-2.358853	-0.376311	-1.275075	-1.287588	0.489033	0.494571
chr1	5450000	5475000	-1.039744	-0.039646	-1.348486	-1.239008	0.706796	0.510507
chr1	5475000	5500000	-1.449030	0.019341	-1.208112	-1.440199	0.556176	0.533507
chr1	5500000	5525000	-1.787216	0.843083	-1.236646	-1.308642	0.660453	0.512006
chr1	5525000	5550000	-1.111775	0.250440	-1.308333	-1.581098	0.441869	0.281104
chr1	5550000	5575000	-1.001593	0.297655	-1.258001	-1.339330	0.389139	0.446483
chr1	5575000	5600000	-1.391856	-0.635474	-1.038187	-1.583827	0.499739	0.383432
chr1	5600000	5625000	-1.501014	-1.091109	-1.477219	-1.301773	0.501111	0.293132
chr1	5625000	5650000	-1.775894	-0.340273	-1.327542	-1.332088	0.538895	0.513636
chr1	5650000	5675000	-1.478974	0.946339	-1.425059	-1.501081	0.679113	0.513663
chr1	5675000	5700000	-1.616043	1.551188	-1.140017	-1.566779	0.487467	0.367096
chr1	5700000	5725000	-2.743578	-0.072042	-1.164105	-1.186828	0.680721	0.933063
chr1	5725000	5750000	-3.277586	0.181451	-1.244671	-1.036256	0.735582	0.762910
chr1	5750000	5775000	-2.540817	0.033370	-1.132705	-1.115190	0.872890	0.761325
chr1	5775000	5800000	-2.573562	0.728139	-1.296725	-1.194385	0.688119	0.893666
chr1	5800000	5825000	-2.220794	0.595637	-1.423229	-1.484318	0.867544	0.823875
chr1	5825000	5850000	-3.823049	0.298618	-0.958924	-1.190095	0.932953	0.852739
chr1	5850000	5875000	-2.538765	0.769450	-1.020845	-1.362017	0.942024	0.785595
chr1	5875000	5900000	-3.252503	-0.568204	-0.906970	-1.562482	0.995747	0.971776
chr1	5900000	5925000	-3.019288	1.006322	-1.142524	-1.505931	0.743803	0.740535
chr1	5925000	5950000	-2.842937	-0.399225	-1.429177	-1.374339	0.593948	0.487555
chr1	5950000	5975000	-2.899801	0.946938	-1.265548	-1.710334	0.716195	0.587207
chr1	5975000	6000000	-2.409668	0.240074	-1.438221	-1.459962	0.911939	0.950279
chr1	6000000	6025000	-2.730644	0.293453	-1.218292	-1.504484	1.161171	0.885504
chr1	6025000	6050000	-3.561093	0.683615	-1.047943	-1.375804	1.104354	1.164808
chr1	6050000	6075000	-3.230361	0.740155	-1.270915	-1.531753	0.940905	1.009182
chr1	6075000	6100000	-2.915489	0.695785	-1.197937	-1.470357	1.017352	1.069662
chr1	6100000	6125000	-2.427470	1.209135	-1.457849	-1.464555	0.901012	0.929181
chr1	6125000	6150000	-3.967167	0.443415	-1.394911	-1.458296	1.123062	1.175569
chr1	6150000	6175000	-2.603050	-0.209517	-1.284903	-1.436230	1.068083	1.147503
chr1	6175000	6200000	-4.339698	0.135504	-1.151949	-1.490957	1.171772	1.220179
chr1	6200000	6225000	-3.458266	-0.145355	-1.423810	-1.271947	1.109293	1.371929
chr1	6225000	6250000	-4.257630	-0.838965	-1.276825	-1.404220	1.277931	1.728563
chr1	6250000	6275000	-2.279745	-0.355252	-1.148306	-1.478514	1.410279	1.488643
chr1	6275000	6300000	-2.637471	0.515498	-1.654555	-1.563047	1.008207	1.044307
chr1	6300000	6325000	-3.425802	0.735537	-1.127417	-1.377253	0.939757	1.013623
chr1	6325000	6350000	-4.162879	-0.568298	-1.188242	-1.397671	1.276974	1.232605
chr1	6350000	6375000	-3.104743	-0.972227	-1.413227	-1.413883	1.126448	1.170680
chr1	6375000	6400000	-4.116285	-0.900276	-1.360896	-1.320804	1.057763	0.959176
chr1	6400000	6425000	-3.383047	0.304442	-1.758183	-1.680720	1.012432	1.115126
chr1	6425000	6450000	-3.932287	-0.332259	-0.913120	-1.315484	1.448763	1.403588
chr1	6450000	6475000	-3.064907	0.010328	-1.101882	-1.157737	1.387738	1.452541
chr1	6475000	6500000	-3.397124	-0.313087	-1.586849	-1.300626	1.308519	1.408400
chr1	6500000	6525000	-3.037506	0.123331	-1.326376	-1.736722	1.103082	1.215667
chr1	6525000	6550000	-3.709724	1.339007	-1.727486	-1.513912	0.947681	0.910880
chr1	6550000	6575000	-2.327590	-0.320106	-1.187934	-1.527697	0.988586	0.890735
chr1	6575000	6600000	-2.751404	-0.990726	-1.303297	-1.283365	1.297119	1.193931
chr1	6600000	6625000	-3.139838	0.592508	-1.596647	-1.477650	0.917537	1.341929
chr1	6625000	6650000	-3.854377	0.896800	-1.271807	-1.219108	1.171114	0.953202
chr1	6650000	6675000	-2.981718	0.182544	-1.511102	-1.792313	0.830594	0.929581
chr1	6675000	6700000	-3.852613	-1.164626	-1.550609	-1.495368	0.680029	0.909052
chr1	6700000	6725000	-2.444798	-0.209200	-1.680770	-1.372039	0.810001	0.813325
chr1	6725000	6750000	-3.955424	0.130695	-1.088076	-1.458296	0.340835	0.558272
chr1	6750000	6775000	-3.158102	0.289459	-1.727486	-1.477308	0.544552	0.467640
chr1	6775000	6800000	-2.490964	-0.127351	-1.309477	-1.379698	0.471548	0.577210
chr1	6800000	6825000	-3.575906	-0.369803	-1.601956	-1.541592	0.438568	0.489246
chr1	6825000	6850000	-3.614125	-0.419868	-1.630130	-1.714075	0.418672	0.461676
chr1	6850000	6875000	-2.818835	0.215452	-1.603280	-1.952840	0.420443	0.518375
chr1	6875000	6900000	-2.813207	-0.113022	-1.626303	-1.693013	0.652456	0.477307
chr1	6900000	6925000	-3.395744	-1.014594	-1.401442	-1.337106	0.495645	0.553763
chr1	6925000	6950000	-3.472277	0.903662	-1.075040	-1.940153	0.846551	0.583344
chr1	6950000	6975000	-3.188774	0.588039	-1.367591	-1.264593	0.549322	0.670011
chr1	6975000	7000000	-3.014343	0.532620	-1.494954	-1.539149	0.651019	0.532165
chr1	7000000	7025000	-2.550147	1.545579	-1.425683	-1.341343	0.807748	0.710677
chr1	7025000	7050000	-2.695635	0.424474	-1.238283	-1.675372	0.390084	0.670772
chr1	7050000	7075000	-2.765265	0.099667	-1.026331	-1.390281	0.833754	0.751943
chr1	7075000	7100000	-1.333580	0.032196	-1.147423	-1.400658	0.840726	0.627766
chr1	7100000	7125000	-2.570378	0.919626	-1.201418	-1.398584	0.658974	0.558638
chr1	7125000	7150000	-2.537453	0.726697	-1.508079	-1.582218	0.572626	0.477643
chr1	7150000	7175000	-1.810011	0.426391	-1.561314	-1.506318	0.543353	0.225691
chr1	7175000	7200000	-1.636024	-0.005884	-1.360896	-1.537151	0.434356	0.769458
chr1	7200000	7225000	-2.774621	-0.950550	-1.445087	-1.553681	0.447896	0.412894
chr1	7225000	7250000	-3.067514	0.598226	-1.521596	-1.198375	0.571859	0.629783
chr1	7250000	7275000	-1.870304	-0.111618	-1.394063	-1.452783	0.627604	0.065021
chr1	7275000	7300000	-3.863055	0.023877	-1.292429	-1.343540	0.552123	0.605020
chr1	7300000	7325000	-2.761761	-0.816816	-1.716937	-1.752582	0.421082	0.321042
chr1	7325000	7350000	-2.933503	0.347956	-1.553851	-1.485520	0.711723	0.468850
chr1	7350000	7375000	-2.526880	-0.589860	-1.273268	-1.345006	0.952681	0.619818
chr1	7375000	7400000	-2.591464	-0.077501	-1.254125	-1.718166	0.864781	0.638879
chr1	7400000	7425000	-1.674212	0.394206	-1.134167	-0.900446	0.542697	0.392343
chr1	7425000	7450000	-3.131705	-0.195595	-1.271807	-1.275705	0.902008	0.495229
chr1	7450000	7475000	-1.806499	0.855430	-1.054808	-1.491097	0.682837	0.758732
chr1	7475000	7500000	-2.920727	0.430326	-1.298866	-1.520354	0.854671	0.756189
chr1	7500000	7525000	-2.362489	-1.131879	-1.308333	-1.439110	0.966842	0.690142
chr1	7525000	7550000	-3.271923	0.488273	-1.273404	-1.444498	0.734674	0.607390
chr1	7550000	7575000	-2.810226	-0.409229	-1.493481	-1.406303	1.021554	0.692530
chr1	7575000	7600000	-2.599144	-0.102323	-1.283880	-1.511477	0.625299	0.694780
chr1	7600000	7625000	-2.169491	-0.694892	-1.131326	-1.461189	0.649242	0.506968
chr1	7625000	7650000	-3.254085	0.197238	-1.593400	-1.379972	0.922290	0.609056
chr1	7650000	7675000	-2.574948	0.066423	-1.219565	-1.284996	0.880640	0.942062
chr1	7675000	7700000	-2.963599	0.403927	-1.284584	-1.309827	0.962249	0.724710
chr1	7700000	7725000	-2.666154	-0.637190	-1.522458	-1.455500	0.637840	0.474429
chr1	7725000	7750000	-2.780757	-0.103472	-1.094758	-1.612583	0.582867	0.430481
chr1	7750000	7775000	-2.529121	1.152698	-1.386450	-1.727474	0.335852	0.453346
chr1	7775000	7800000	-2.310532	0.459759	-1.968495	-1.830407	0.651443	0.391701
chr1	7800000	7825000	-1.698630	0.419016	-1.861642	-1.583256	0.274334	0.327754
chr1	7825000	7850000	-2.446437	0.509885	-1.394987	-1.934735	0.422312	0.455852
chr1	7850000	7875000	-2.211672	-0.833883	-1.526736	-1.706536	0.602099	0.622484
chr1	7875000	7900000	-2.274491	1.000550	-1.714996	-1.683026	0.421237	0.277285
chr1	7900000	7925000	-3.425150	0.216402	-1.352661	-1.578357	0.377381	0.498909
chr1	7925000	7950000	-3.038239	0.635634	-1.603280	-1.725016	0.135628	0.609233
chr1	7950000	7975000	-2.532319	0.255805	-1.389490	-1.451526	0.668721	0.702930
chr1	7975000	8000000	-3.712311	0.216294	-1.104456	-1.414717	0.765479	0.670028
chr1	8000000	8025000	-4.162698	-0.146489	-1.553503	-1.515066	0.576287	0.557488
chr1	8025000	8050000	-4.064018	-0.033254	-1.235365	-1.778615	0.278013	0.714063
chr1	8050000	8075000	-3.481750	-0.357390	-1.609883	-1.447346	0.232671	0.624308
chr1	8075000	8100000	-2.681830	-0.194087	-1.595697	-1.609837	0.475954	0.569229
chr1	8100000	8125000	-2.484481	-0.387888	-1.321848	-1.279341	0.450887	0.613760
chr1	8125000	8150000	-4.144654	0.228289	-1.464452	-1.296667	0.690892	0.653072
chr1	8150000	8175000	-3.642162	-0.646826	-1.338921	-1.482222	0.882428	0.805766
chr1	8175000	8200000	-3.403471	-0.808225	-1.092150	-1.330788	0.459306	0.440015
chr1	8200000	8225000	-3.615120	-0.409182	-1.093085	-1.156033	0.695296	0.780470
chr1	8225000	8250000	-4.653211	-0.093124	-1.397024	-1.510419	0.818117	0.574028
chr1	8250000	8275000	-3.657298	-0.650400	-1.012245	-1.523183	0.658600	0.836027
chr1	8275000	8300000	-2.824421	-0.128402	-1.268187	-1.363578	0.515852	0.680244
chr1	8300000	8325000	-4.083334	-0.270874	-1.286115	-1.476528	0.647448	0.584666
chr1	8325000	8350000	-4.236930	-0.284932	-1.128966	-1.525683	1.031291	0.652139
chr1	8350000	8375000	-4.384918	-0.412850	-0.872603	-1.341085	0.856558	0.968355
chr1	8375000	8400000	-3.807095	-1.090988	-1.245917	-1.532397	0.632884	0.440556
chr1	8400000	8425000	-4.335808	-0.711352	-1.155502	-1.728836	0.499440	0.600095
